"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-11-128","","",""
"MXIM-AV-1-11-129","","",""
"MXIM-AV-1-11-130","","",""
"MXIM-AV-1-11-131","","",""
"MXIM-AV-1-11-132","","",""
"MXIM-AV-1-11-133","","",""
"MXIM-AV-1-11-134","","",""
"MXIM-AV-1-11-135","","",""
"MXIM-AV-1-11-136","","",""
"MXIM-AV-1-11-137","","",""
"MXIM-AV-1-11-138","","",""
"MXIM-AV-1-11-139","","",""
"MXIM-AV-1-11-140","","",""
"MXIM-AV-1-11-141","","",""
"MXIM-AV-1-11-142","","",""
"MXIM-AV-1-11-143","","",""
"MXIM-AV-1-11-144","","",""
"MXIM-AV-1-11-145","","",""
"MXIM-AV-1-11-146","","",""
"MXIM-AV-1-11-147","","",""
"MXIM-AV-1-11-148","","Documentales relacionados: Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-149","","",""
"MXIM-AV-1-11-150","","Temática: Migración judía a México Estudio demográfico de la migración judía a méxico 1900-1950 MXIM-AV-1-12-54",""
"MXIM-AV-1-11-151","","",""
"MXIM-AV-1-11-152","","Documentales relacionados: Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-153","","",""
"MXIM-AV-1-11-154","","",""
"MXIM-AV-1-11-155","","Documentales relacionados: Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con marcoa (MXIM-AV-1-11-152)",""
"MXIM-AV-1-11-156","","Unidades relacionadas con la temática de ferrocarriles: Km. C-62, Un nómada del riel: MXIM-AV-1-12-83",""
"MXIM-AV-1-11-157","","",""
"MXIM-AV-1-11-158","","",""
"MXIM-AV-1-11-159","","",""
"MXIM-AV-1-11-160","","",""
"MXIM-AV-1-11-161","","",""
"MXIM-AV-1-11-162","","",""
"MXIM-AV-1-11-163","","Forma parte de la edición Documentales de Teatro mexicano MXIM-AV-1-12-33",""
"MXIM-AV-1-11-164","","Forma parte de la edición Documentales de Teatro mexicano MXIM-AV-1-12-33",""
